t,file,vol,desc,why
0.00,breath_vo.wav,0.8,기합 숨소리 + 가방 부스럭,의자에 기어오르는 오프닝
1.14,breath_vo.wav,0.8,짧은 한숨·숨소리,막 도착해 숨 고르기
1.70,footsteps.wav,0.8,발소리 + 팀장의 짧은 감탄,팀장 등장
6.77,sparkle.wav,0.8,반짝 '샤랑'(추정),✦ 반짝이 오버레이 등장
11.90,amb_room.wav,0.5,음악 없이 사무실 앰비언스(룸톤)만 남음,행동 파트의 조용한 실시간 느낌
13.97,laptop_open.wav,0.8,기합 + 노트북 뚜껑 여는 소리,노트북 열기
15.66,breath_vo.wav,0.8,힘주는 '끙' 숨소리(자막 없음),뚜껑과 씨름
16.20,keyboard.wav,0.8,키보드 '톡톡' 후 무반응,꺼진 화면
17.34,question_ding.wav,0.8,작은 '흠?' + 물음표 '띵?',의아한 리액션
17.69,boom_low.wav,0.8,저음 '둥' 히트 + 어색한 저음 박동 시작(약 0.7초 간격),1차 위기 정적 와이드(컷 0.06초 뒤)
19.11,boom_low.wav,0.8,저음 박동 '둥',실눈 컷(#26)과 동시
23.60,question_ding.wav,0.8,'띵!' 깨달음,짧은 디졸브 + 강조 자막
24.67,click.wav,0.8,전원 버튼 클릭,해결 행동
25.13,login_chime.wav,0.8,"부팅 '슈웅' 상승음(노이즈 계열, 측정) + 로그인 '띠링'(권장)",화면 점등
26.23,fanfare.wav,0.8,소심한 미니 팡파레(작게),소심한 세레머니
27.61,heartbeat.wav,0.8,저음 '둥' 히트 + 심장박동 같은 저음 박동 복귀,"2차 위기(1차와 같은 소리로 반복 인지, 컷 0.08초 뒤)"
29.03,heartbeat.wav,0.8,심장박동 저음,3단 푸시인 1단계(#39 컷 0.13초 뒤)
29.72,heartbeat.wav,0.8,심장박동 저음,3단 푸시인 2단계(#40 컷 0.09초 뒤)
30.42,heartbeat.wav,0.8,심장박동 저음,3단 푸시인 3단계(#41 컷 0.09초 뒤)
31.35,boom_low.wav,0.8,가장 센 저음 '둥',비밀번호 칸 초근접
32.35,boing.wav,0.8,"상승 슬라이드 휘슬(약 460Hz→1.3kHz, 측정). 키트에서는 '띠용' 계열로 대체",블렙(혀 빼꼼)
33.60,glitch.wav,0.8,'지지직' 글리치 노이즈(추정),글리치 자막
